# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 66K of event 'cycles:P'
# Event count (approx.): 35524479063
#
# Overhead  Command        Shared Object                   Symbol                                     
# ........  .............  ..............................  ...........................................
#
    48.32%  my_executable  libstencil.so                   [.] idx_const
    21.01%  my_executable  libstencil.so                   [.] solve_jacobi._omp_fn.1
     5.97%  my_executable  libstencil.so                   [.] idx_const@plt
     5.95%  my_executable  libgomp.so.1.0.0                [.] gomp_team_barrier_wait_end
     3.79%  my_executable  libgomp.so.1.0.0                [.] gomp_barrier_wait_end
     3.59%  my_executable  libstencil.so                   [.] mesh_copy_core
     1.90%  my_executable  libstencil.so                   [.] setup_mesh_cell_values._omp_fn.0
     1.84%  my_executable  [kernel.vmlinux]                [k] clear_page_erms
     1.65%  my_executable  libstencil.so                   [.] setup_mesh_cell_kinds._omp_fn.0
     1.23%  my_executable  libstencil.so                   [.] idx_core_const
     0.70%  my_executable  libstencil.so                   [.] idx_core
     0.49%  my_executable  libstencil.so                   [.] idx
     0.44%  my_executable  libstencil.so                   [.] mesh_set_cell_kind
     0.26%  my_executable  libstencil.so                   [.] compute_core_pressure
     0.16%  my_executable  libstencil.so                   [.] idx_core_const@plt
     0.06%  my_executable  [kernel.vmlinux]                [k] perf_adjust_freq_unthr_context
     0.06%  my_executable  libstencil.so                   [.] idx@plt
     0.06%  my_executable  libstencil.so                   [.] mesh_set_cell_kind@plt
     0.06%  my_executable  libstencil.so                   [.] idx_core@plt
     0.05%  my_executable  libm.so.6                       [.] 0x0000000000073b8f
     0.05%  my_executable  libm.so.6                       [.] 0x0000000000073a5d
     0.05%  my_executable  [kernel.vmlinux]                [k] native_queued_spin_lock_slowpath
     0.04%  my_executable  [kernel.vmlinux]                [k] memset_orig
     0.04%  my_executable  libm.so.6                       [.] 0x0000000000073bee
     0.04%  my_executable  [kernel.vmlinux]                [k] copy_page
     0.03%  my_executable  [kernel.vmlinux]                [k] update_load_avg
     0.03%  my_executable  libm.so.6                       [.] 0x000000000007391f
     0.03%  my_executable  libm.so.6                       [.] 0x0000000000073a50
     0.02%  my_executable  libstencil.so                   [.] cos@plt
     0.02%  my_executable  [kernel.vmlinux]                [k] entry_SYSCALL_64
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073cc5
     0.02%  my_executable  libm.so.6                       [.] 0x00000000000732bb
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073bbd
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073908
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073bac
     0.02%  my_executable  libz.so.1.3.1                   [.] gzgets
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073bd2
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073a09
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073bcd
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073d65
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073277
     0.02%  my_executable  [kernel.vmlinux]                [k] pci_conf1_read
     0.02%  my_executable  [kernel.vmlinux]                [k] __update_load_avg_cfs_rq
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073122
     0.02%  my_executable  [kernel.vmlinux]                [k] update_cfs_group
     0.02%  my_executable  libm.so.6                       [.] 0x000000000007390a
